"filename", "language", "CMake", "C++", "Markdown", "PowerShell", "YAML", "comment", "blank", "total"
"c:\DEV\GEANT4\LIB\G4Vox\CITATION.cff", "YAML", 0, 0, 0, 0, 22, 0, 6, 28
"c:\DEV\GEANT4\LIB\G4Vox\CMakeLists.txt", "CMake", 88, 0, 0, 0, 0, 48, 23, 159
"c:\DEV\GEANT4\LIB\G4Vox\ReadMe.md", "Markdown", 0, 0, 117, 0, 0, 0, 47, 164
"c:\DEV\GEANT4\LIB\G4Vox\build.ps1", "PowerShell", 0, 0, 0, 57, 0, 42, 15, 114
"c:\DEV\GEANT4\LIB\G4Vox\include\G4Vox\HDF5Writer.hh", "C++", 0, 83, 0, 0, 0, 15, 23, 121
"c:\DEV\GEANT4\LIB\G4Vox\include\G4Vox\TOMLManager.hh", "C++", 0, 35, 0, 0, 0, 8, 13, 56
"c:\DEV\GEANT4\LIB\G4Vox\include\G4Vox\VVoxQuantity.hh", "C++", 0, 71, 0, 0, 0, 19, 23, 113
"c:\DEV\GEANT4\LIB\G4Vox\include\G4Vox\VVoxQuantityAccumulable.hh", "C++", 0, 63, 0, 0, 0, 11, 17, 91
"c:\DEV\GEANT4\LIB\G4Vox\include\G4Vox\VVoxQuantityScorer.hh", "C++", 0, 60, 0, 0, 0, 5, 15, 80
"c:\DEV\GEANT4\LIB\G4Vox\include\G4Vox\VoxGeometry.hh", "C++", 0, 82, 0, 0, 0, 9, 20, 111
"c:\DEV\GEANT4\LIB\G4Vox\include\G4Vox\VoxQuantityManager.hh", "C++", 0, 71, 0, 0, 0, 8, 22, 101
"c:\DEV\GEANT4\LIB\G4Vox\include\G4Vox\VoxQuantityMessenger.hh", "C++", 0, 26, 0, 0, 0, 8, 6, 40
"c:\DEV\GEANT4\LIB\G4Vox\include\G4Vox\VoxSD.hh", "C++", 0, 59, 0, 0, 0, 1, 11, 71
"c:\DEV\GEANT4\LIB\G4Vox\include\G4Vox\VoxUtils.hh", "C++", 0, 80, 0, 0, 0, 8, 20, 108
"c:\DEV\GEANT4\LIB\G4Vox\src\HDF5Writer.cc", "C++", 0, 360, 0, 0, 0, 57, 73, 490
"c:\DEV\GEANT4\LIB\G4Vox\src\TOMLManager.cc", "C++", 0, 80, 0, 0, 0, 23, 20, 123
"c:\DEV\GEANT4\LIB\G4Vox\src\VVoxQuantity.cc", "C++", 0, 90, 0, 0, 0, 4, 14, 108
"c:\DEV\GEANT4\LIB\G4Vox\src\VVoxQuantityScorer.cc", "C++", 0, 43, 0, 0, 0, 0, 10, 53
"c:\DEV\GEANT4\LIB\G4Vox\src\VoxGeometry.cc", "C++", 0, 177, 0, 0, 0, 18, 28, 223
"c:\DEV\GEANT4\LIB\G4Vox\src\VoxQuantityManager.cc", "C++", 0, 343, 0, 0, 0, 6, 50, 399
"c:\DEV\GEANT4\LIB\G4Vox\src\VoxQuantityMessenger.cc", "C++", 0, 103, 0, 0, 0, 11, 9, 123
"c:\DEV\GEANT4\LIB\G4Vox\src\VoxSD.cc", "C++", 0, 123, 0, 0, 0, 6, 19, 148
"c:\DEV\GEANT4\LIB\G4Vox\src\VoxUtils.cc", "C++", 0, 90, 0, 0, 0, 57, 20, 167
"Total", "-", 88, 2039, 117, 57, 22, 364, 504, 3191